id,name,geographical_features,associated_characters,associated_events,images
1,"天庭","上有三十三重天，是天庭所在地，拥有天界36天宫和天界72宝殿，如遣云宫、毗沙宫、三清宫、五明宫、兜率宫、弥罗宫等天宫，以及朝会殿、凌虚殿、宝光殿、通明殿等宝殿。各路神仙在此居住和办公，是一个神圣、庄严且具有神秘色彩的地方。","玉皇大帝（CEO）、如来佛祖（集团董事长）、燃灯古佛（前任CEO，退休顾问）、王母娘娘（HR总监）、三清（名誉顾问，包括太上老君、元始天尊、灵宝天尊）、观音菩萨（取经项目HRBP）、李靖 & 哪吒（天庭保安部）、二郎神（特种部队队长）、四大天王（门卫天团）等。","孙悟空大闹天宫，不分好歹大乱天宫，打得九曜星闭门闭户，四天王无影无形；王母娘娘举办蟠桃会，邀请各路神仙参加，但孙悟空搅乱了蟠桃胜会；孙悟空被封为弼马温，负责管理天马，但因不满官职小而擅自离开天宫等。","云雾缭绕的天庭:https://p3-search.byteimg.com/obj/labis/e8b3ce38a76918dbbb38b834daa63eba;漫画风格的天宫战斗:https://p3-search.byteimg.com/obj/labis/05853b60a7f20ce53b5b91063150e003;身着白衣女子起舞的天庭场景:https://p3-search.byteimg.com/obj/labis/dd14f024c37f05ef0ddef6e065b925ec;含文字的《西游记》天庭画面:https://p3-search.byteimg.com/obj/labis/b5264af59cda8f870debf4a22c5f868b"
2,"花果山","位于东胜神洲傲来国，是十洲之祖脉，三岛之来龙，自开清浊而立，鸿蒙判后而成。此山中有一洞，名唤水帘洞，洞内有石锅石灶、石碗石盆、石床石凳，中间一块石碣上，镌着“花果山福地，水帘洞洞天”。山上丹崖怪石，削壁奇峰，彩凤双鸣，麒麟独卧，林中有寿鹿仙狐，树上有灵禽玄鹤，瑶草奇花不谢，青松翠柏长春，仙桃常结果，修竹每留云，是一个充满灵气和生机的地方。经考证，其地理特征与广东东莞大岭山区、江苏连云港花果山高度吻合，连云港花果山主峰玉女峰海拔624.4米，是江苏省的最高峰，四外碧波大海，远处天际浩渺。","孙悟空、混世魔王、通臂猿猴、赤尻马猴等。","孙悟空由仙石孕育而生，出生于此山，并带领猴群进入水帘洞，被尊为“美猴王”；孙悟空学艺归来后，打败混世魔王，收复七十二洞妖王；杨戬曾攻打花果山，带领梅山六兄弟和一千两百位草头神向花果山冲杀。","类似孙悟空与猴子互动的花果山场景:https://p3-search.byteimg.com/obj/labis/37c20bf2e0e9b2bb433f630eec817489;花果山的人物雕塑与自然山石景观:https://p3-search.byteimg.com/obj/labis/69cd00859b6fa55177fa6d3f99f0ef89;花果山的山林景观:https://p3-search.byteimg.com/obj/labis/d27d120a0ca199170c62d5c91ff677c5;花果山的山间美景:https://p3-search.byteimg.com/obj/labis/9e2cd09239ed977f052077d43c3046fc"
3,"灵台方寸山","位于西牛贺洲，千峰排戟，万仞开屏。日映岚光轻锁翠，雨收黛色冷含青。枯藤缠老树，古渡界幽程。奇花瑞草，修竹乔松，万载常青欺福地；奇花瑞草，四时不谢赛蓬瀛。幽鸟啼声近，源泉响溜清。重重谷壑芝兰绕，处处蒨崖苔藓生。起伏峦头龙脉好，必有高人隐姓名。世外高人菩提祖师便隐居在灵台方寸山斜月三星洞。","孙悟空、菩提祖师。","孙悟空在一个樵子的指引下来到了菩提祖师的洞府斜月三星洞，开始拜师历程，菩提祖师传授了孙悟空筋斗云和七十二变。","灵台方寸山的古迹场景:https://p3-search.byteimg.com/obj/labis/99b5ae08180b6b086e84f09d254f82d0;哲高积木展示的灵台方寸山:https://p3-search.byteimg.com/obj/labis/3b92ad8e643cf70154575376d7a50e85;以《西游记》为主题的积木玩具宣传图:https://p3-search.byteimg.com/obj/labis/c552fcc22de4828150f634f704220082;奇幻仙侠风格的灵台方寸山场景:https://p3-search.byteimg.com/obj/labis/b2dc8d2afab8d73f8101067c0d0651fa"
4,"火焰山","位于今天新疆吐鲁番盆地的北缘，古丝绸之路北道。山体由赤红色砂砾岩构成，全长约100公里，最高峰海拔831.7米，寸草不生，夏季地表温度可达70℃以上，沙窝里甚至能烤熟鸡蛋，堪称“中国热极”，吴承恩在《西游记》中将其描绘为“无春无秋，四季皆热”。现实中火焰山的形成是由于地层深埋的煤矿在自然条件与人为活动交织下的自燃。","孙悟空、铁扇公主、牛魔王、唐僧、猪八戒、沙僧等。","唐僧师徒西天取经路阻火焰山，火焰山火大且不是一般的火，唯芭蕉扇可以扇灭，由此引出孙悟空三借芭蕉扇的典故。第一次借扇，铁扇公主一扇子扇飞悟空，悟空变成小虫进入铁扇公主的肚子折腾，铁扇公主给了一把假扇；第二次，悟空变成牛魔王骗走真扇，牛魔王变成猪八戒骗回真扇；第三次，悟空大战牛魔王，哪吒出现，矛盾化解，铁扇公主借出芭蕉扇，悟空扇灭火焰山，唐僧师徒向西赶路。","手绘风格的孙悟空飞跃火焰山连环画封面:https://p3-search.byteimg.com/obj/labis/c8dd2a28b7cf913d9b10f14f58380a8f;孙悟空腾跃于火焰山之上的封面图:https://p3-search.byteimg.com/obj/labis/4794819c8234cb30bc1e9fb594879e86;《西游记》火焰山相关场景画:https://p3-search.byteimg.com/obj/labis/aa41c3e990a6e14666a3e96cf4c09a08;火焰山景点:https://p3-search.byteimg.com/obj/labis/984baf7d9b10da1ca38c7b1429086623"
5,"流沙河","原著中描述“八百流沙界，三千弱水深；鹅毛飘不起，芦花定底沉”，河流宽度约八百里（约400公里），水流狂澜，浑波涌浪。其真实位置很可能位于蒙古以南、甘肃以西的沙漠区域，尤其可能是新疆地区的莫贺延碛，该沙漠位于今甘肃的安西与新疆的哈密之间，面积辽阔，寸草不生，缺少水源，历史文献中描述为“上无飞鸟，下无走兽”，是极为危险的地方。","唐僧、孙悟空、猪八戒、沙僧等。","唐僧师徒三人行过黄风岭，来到流沙河，在此收服了沙僧。","传统国画风格的流沙河打斗场景:https://p3-search.byteimg.com/obj/labis/fbd41c893c060f1201b81f0182131e6c;《西游记故事：大战流沙河》书籍封面:https://p3-search.byteimg.com/obj/labis/6c955a85b9bd2cbda9174c471a3468fd;绘本封面的流沙河激战场景:https://p3-search.byteimg.com/obj/labis/74ecbd6718ed8efbbf88795718c1bdb3;《西游记》流沙河连环画封面:https://p3-search.byteimg.com/obj/labis/1a2a43348bd45fb4fd320976a8ce7fac"
6,"鹰愁涧","位于蛇盘山，在大唐以西、西番哈咇国界处。涧中自来无邪，只是深陡宽阔，水光彻底澄清，鸦鹊不敢飞过，因水清照见自己的形影，便认做同群之鸟，往往身掷于水内。","孙悟空、唐僧、小白龙、观音菩萨等。","唐僧师徒行至鹰愁涧，小白龙吞掉唐僧的白马。孙悟空请来观音菩萨，得知小白龙是西海三太子，因纵火烧毁玉帝赏赐的明珠而被龙王上天告忤逆，要被斩首，后因观音菩萨出面免于死罪，被下贬到蛇盘山鹰愁涧等待唐僧取经。观音菩萨点化小白龙，将其变成白龙马，驮着唐僧继续西行。","《西游记》连环画鹰愁涧封面:https://p3-search.byteimg.com/obj/labis/dcd5ef97943684b6ba79d1b545e72b82;中国传统水墨画风格的鹰愁涧:https://p3-search.byteimg.com/obj/labis/98ac933c8b6db1cf2757d33d2585b866;传统国画风格的鹰愁涧场景:https://p3-search.byteimg.com/obj/labis/de8d3176583abd7ba0aae0236de646e1;影视截图的《西游记》鹰愁涧场景:https://p3-sdbk2-media.byteimg.com/tos-cn-i-xv4ileqgde/3e0054fb4754478d8c3dee61bf70880f~tplv-xv4ileqgde-image.image"
7,"高老庄","书中未详细描述其地理特征，推测是一个普通的村庄，有农田、房屋等。","猪八戒、高太公、高翠兰、孙悟空、唐僧等。","猪八戒下凡后在此地抢占民女高翠兰，后被孙悟空降伏，加入取经队伍。","《西游故事选》“高老庄”插画封面:https://p3-search.byteimg.com/obj/labis/fccc255ee904ee8e42c61fcb014f17f8;古典题材插画的高老庄场景:https://p3-search.byteimg.com/obj/labis/5c2ce2b08da3478891d1db19800e5ad1;中国古典名著《西游记》之“高老庄”插画:https://p3-search.byteimg.com/obj/labis/04b44862fea485b26b731b406dc0ae8f;《西游记》高老庄题材连环画封面:https://p3-search.byteimg.com/obj/labis/5a87d395604840b64c158f3e9a99248b"
8,"五庄观","位于西牛贺洲，庄前有一座大山，山上有青松翠柏，奇花异草。五庄观内有珍贵的人参果树，此树九千年成熟一次，闻一闻能活三百六十岁，吃一颗能活四万七千年。","镇元大仙、唐僧、孙悟空、猪八戒、沙僧等。","唐僧师徒路过五庄观，孙悟空等人偷吃人参果，被镇元大仙发现，双方发生冲突，孙悟空推倒人参果树。后来孙悟空请观音菩萨医活了人参果树，镇元大仙与孙悟空结拜为兄弟，举办人参果会。","动画风格的五庄观偷吃人参果图片:https://p3-search.byteimg.com/obj/labis/0732f9200cabc56260afd72df8b11f91;传统线描风格的五庄观行者窃人参图:https://p3-search.byteimg.com/obj/labis/15c48f1e62d33c17784ec2f7e62427ed;古典题材封面画的大闹五庄观:https://p3-search.byteimg.com/obj/labis/e7a32715974f40633a15b54f56d2fd34;《少年西游记2》游戏宣传图之五庄观:https://p3-search.byteimg.com/obj/labis/97a025e79984bef4706f2bbb0bd33be1"
9,"女儿国","有观点认为在四川雅安汉源周边，书中描述该国全是女子，有独特的人文地理环境。","唐僧、孙悟空、猪八戒、沙僧、西梁女国王、蝎子精等。","唐僧师徒来到女儿国，喝了子母河的水怀上了孩子，被西梁女国王留下成亲；在琵琶洞里被蝎子精逮住折磨；最终孙悟空等人设法离开女儿国，继续取经之路。","有古装人物与飘动旗帜的女儿国城墙:https://p3-sdbk2-media.byteimg.com/tos-cn-i-xv4ileqgde/33910932b1ee4439b0573d90f6422331~tplv-xv4ileqgde-image.image;《西游记女儿国》电影海报:https://p3-search.byteimg.com/obj/labis/f23cacd2b75bdd477ae37c7d89b75999;《西游记之女儿国》海报:https://p3-search.byteimg.com/obj/labis/6226c68f37260e5fe7947db54d140302;《西游记女儿国》电影海报（赵丽颖饰女儿国国王）:https://p3-search.byteimg.com/obj/labis/9d09ff6036d1089b141339e9f2027b42"
10,"狮驼岭","又名狮驼山、八百里狮驼岭，方圆八百里，面积极其大。岭上分别由青毛狮子怪、白象精、大鹏金翅雕三大魔王占据，共有四万七八千个小妖。岭中有座狮驼洞，洞内第一层阴森恐怖，骷髅众多，如同人间地狱；第二层为景色不错的过道；第三层是几个大魔头的所在。","唐僧、孙悟空、猪八戒、沙僧、青毛狮子怪、白象精、大鹏金翅雕、如来佛祖、文殊菩萨、普贤菩萨等。","唐僧师徒路经狮驼岭，唐僧、猪八戒、沙僧先后被抓，孙悟空无奈去灵山找如来佛祖帮忙，后在如来佛祖、文殊菩萨、普贤菩萨等人的帮助下救出唐僧师徒三人。狮驼岭相关故事占据了《西游记》小说八十一难中的四难，分别是路阻狮驼六十一难，怪分三色六十二难，城里遇灾六十三难，请佛收魔六十四难。","夕阳余晖下的狮驼岭场景:https://p3-sdbk2-media.byteimg.com/tos-cn-i-xv4ileqgde/b46eb4f3913549988916dec49bacd316~tplv-xv4ileqgde-image.image;《狮驼岭》海报:https://p3-sdbk2-media.byteimg.com/tos-cn-i-xv4ileqgde/268091a1d4a44c4db5bf96e5059604e0~tplv-xv4ileqgde-image.image;两人装扮成妖怪模样的狮驼岭画面:https://p3-search.byteimg.com/obj/labis/640;《斗战狮驼岭》书籍封面:https://p3-search.byteimg.com/obj/labis/80e50c001a67dc7e4ccb163438d4cfcb"
11,"灵山","是如来佛祖的所在地，是佛教圣地，庄严神圣，有众多的殿堂和修行场所。","如来佛祖、唐僧、孙悟空、猪八戒、沙僧等。","唐僧师徒历经九九八十一难后到达灵山，取得真经，最终修成正果。","云海之上的宏伟城堡式灵山建筑:https://p3-sdbk2-media.byteimg.com/tos-cn-i-xv4ileqgde/8c75b3b9925f4e2e92ac1d7c31d28cf7~tplv-xv4ileqgde-image.image;唐僧师徒与背景神仙佛像的灵山场景:https://p3-search.byteimg.com/obj/labis/359d39173524ce4865205a3ebd49b515;佛祖端坐莲花座的灵山画面:https://p3-search.byteimg.com/obj/labis/ab070d5e5f1e35afde9c56f22a59778f;中国四大名著卡通系列之《西游记》漫画书封面（参佛祖）:https://p3-search.byteimg.com/obj/labis/47591ec37f74787cf6a5a423c34caf96"
12,"雷音寺","分为大雷音寺和小雷音寺，是佛教圣地，建筑宏伟壮观，充满了佛教的神秘氛围。","如来佛祖、唐僧、孙悟空、猪八戒、沙僧等。","唐僧师徒到达雷音寺，拜见如来佛祖，求取真经。在小雷音寺，黄眉老佛假冒佛祖，将孙悟空等神仙斗得没有办法，后请弥勒佛帮忙才将其收服。","中式传统风格的雷音寺大门:https://p3-search.byteimg.com/obj/labis/3ec8c6a346772419a8ebb137088dc3ea;学汉语分级读物《西游记6：灵山雷音寺》封面:https://p3-search.byteimg.com/obj/labis/47498716f9a18b03975592e6048540ae;“学校版分级读物”之《西游记6：灵山雷音寺》封面图:https://p3-search.byteimg.com/obj/labis/83943f87e2db71bf19aa94f4703c4cff;‘学汉语分级读物’《西游记6：灵山雷音寺》封面:https://p3-search.byteimg.com/obj/labis/208d65bf54d6b36be78d21fe596b762c"
13,"幽冥界","入口标识可能存在变化，如孙悟空所见城门上镌刻着“幽冥界”三个字，唐太宗游历地府时目睹“幽冥地府鬼门关”的金色大字。幽冥界的管理者是地藏王菩萨，监督十位冥王。森罗殿是主要殿堂之一，十位冥王在此处理生死案件，森罗殿之后便是幽冥背阴山，阳光难以照射到这里，四周被黑雾笼罩，地势险恶，鬼怪潜伏其间，山上荆棘繁密，有奇怪的声音充斥耳边，环境极其阴森可怖。","地藏王菩萨、十殿阎王（秦广王、楚江王等）、孙悟空等。","孙悟空曾闯入幽冥界，查阅生死簿，把猴属名字从生死簿上勾销；唐太宗也曾游历地府，经历了一系列奇幻的事情。","《西游记》动画截图之幽冥界:https://p3-search.byteimg.com/obj/labis/05e5a32bd5eed1f4611e366985fae1ed;含英文及中文文字的幽冥界动画风格图片:https://p3-search.byteimg.com/obj/labis/7511c46300636d2b549e677c8c1c4afa;英文版《西游记》第7集幽冥界卡通画:https://p3-search.byteimg.com/obj/labis/5640051f68b66b171035830555e9b049;动画版孙悟空形象的幽冥界画面:https://p3-search.byteimg.com/obj/labis/2431632885e3dcadea5f86bbd04e221d"
14,"宝象国","书中未详细描述其地理特征，推测是一个有宫殿、城池的国家。","孙悟空、唐僧、猪八戒、沙僧、黄袍怪、百花羞公主等。","孙悟空三打白骨精之后被唐僧赶走，回了花果山，然后唐僧和其他两个徒弟到了宝象国境内，进入波月洞，被黄袍怪抓了去，但被黄袍怪的夫人百花羞公主解救。后来猪八戒和沙和尚无法救出唐僧，只好求救孙悟空。","《宝象国蒙冤》西游记故事绘本封面:https://p3-search.byteimg.com/obj/labis/4b29b3e07e0e36e7e81283ddc7123dd7;构图展现故事场景的宝象国封面图:https://p3-search.byteimg.com/obj/labis/ec13858adfe585a57d13273d28e735e4;以经典角色构图的宝象国图片:https://p3-search.byteimg.com/obj/labis/fc0404f7856d8effc11546dad4b1b936;古装人物合影的宝象国画面:https://p3-search.byteimg.com/obj/labis/17b7ab4b2320fd29441f8a1e6ab28410"
15,"乌鸡国","书中未详细描述其地理特征，推测是一个有一定规模的国家，有宫殿、街道等。","孙悟空、唐僧、猪八戒、沙僧、乌鸡国国王、青狮精等。","乌鸡国的国王被青狮精变成假国王推下井，真国王魂魄求救唐僧师徒，后来三个徒弟打败了假国王，换取了通关文牒。","观音菩萨与孙悟空等在乌鸡国的画面:https://p3-search.byteimg.com/obj/labis/0222e2fc1278266bfebf212698d69a08;中国四大名著卡通系列《西游记》“乌鸡国除妖魔”漫画书封面:https://p3-search.byteimg.com/obj/labis/fb18c4fac3c730c8a7ea024a6c08bc39;《西游记》电视系列连环画“除妖乌鸡国”封面:https://p3-search.byteimg.com/obj/labis/a0699a9eb7f127c287871926ed5a474d;中国古典名著卡通系列《西游记》“乌鸡国除妖魔”书籍封面:https://p3-search.byteimg.com/obj/labis/46035c4aac50d94d0a26f018e95ecba5"
16,"车迟国","书中未详细描述其地理特征，推测是一个有宗教氛围的国家，有道观、寺庙等建筑。","孙悟空、唐僧、猪八戒、沙僧、虎力大仙、鹿力大仙、羊力大仙等。","孙悟空与虎力大仙、鹿力大仙、羊力大仙斗法，包括坐禅、隔板猜物、砍头、剖腹、下油锅等，最终战胜了三位大仙，救了做苦工的和尚。","卡通风格的车迟国斗法插画:https://p3-sdbk2-media.byteimg.com/tos-cn-i-xv4ileqgde/c5e2ea2e5dee4623ac2d33a4150e6174~tplv-xv4ileqgde-image.image;卡通插画的车迟国斗法场景:https://p3-search.byteimg.com/obj/labis/7d55d2c7e6d471a1f59470141d546bd7;艺术风格的车迟国战斗场景:https://p3-search.byteimg.com/obj/labis/f8ed14aa978842ed00de05a7be807125;古装神话风格的车迟国场景:https://p3-search.byteimg.com/obj/labis/3e4f71a92ed8039f38dac221bf816d0b"
17,"祭赛国","书中未详细描述其地理特征，推测是一个有宝塔、城池的国家。","孙悟空、唐僧、猪八戒、沙僧、九头虫等。","九头虫偷走了祭赛国的国宝，小白龙对战前妻，孙悟空等人扫塔见妖怪，最终取回国宝，救出僧人。","绘有插画的《祭赛国》书籍封面:https://p3-search.byteimg.com/obj/labis/c69f5fd11a0000c522f4e52eee945955;两人在波涛中打斗的祭赛国画面:https://p3-sdbk2-media.byteimg.com/tos-cn-i-xv4ileqgde/32f10f8a764b460889473184b13686d3~tplv-xv4ileqgde-image.image;头戴华丽王冠的祭赛国男子:https://p3-sdbk2-media.byteimg.com/tos-cn-i-xv4ileqgde/56fb94aa1daf4e07b58c3301df71fecb~tplv-xv4ileqgde-image.image;传统绘画风格的《大闹石碣村》场景:https://p3-search.byteimg.com/obj/labis/46e54369569d7431f4ff8d4f0c37804f"
18,"朱紫国","书中未详细描述其地理特征，推测是一个有宫殿、街道的国家。","孙悟空、唐僧、猪八戒、沙僧、朱紫国国王、金圣娘娘、赛太岁等。","孙悟空给朱紫国国王行医治病，治好了国王的病，收服了赛太岁，救出了国王的爱妃金圣娘娘。","头戴装饰华丽帽子的朱紫国男子:https://p3-sdbk2-media.byteimg.com/tos-cn-i-xv4ileqgde/28fef04219704a24ac3a6459d4205918~tplv-xv4ileqgde-image.image;孙悟空和猪八戒围坐圆桌的朱紫国场景:https://p3-search.byteimg.com/obj/labis/ec3958d5ed42e510dddeb78df28115f2;卡通风格的朱紫国人物形象:https://p3-search.byteimg.com/obj/labis/f4fa80030e351aff2b9fbff481487dfc;两个卡通人物的朱紫国画面:https://p3-search.byteimg.com/obj/labis/aade3b72ae26d75780afe26ea38953dd"
19,"荆棘岭","书中未详细描述其地理特征，推测是一个树木茂密、充满神秘氛围的地方。","唐僧、孙悟空、猪八戒、沙僧、树精等。","唐僧师徒在荆棘岭遇到一群树精，和树精吟诗。","华丽神秘宫殿场景的荆棘岭:https://p3-search.byteimg.com/obj/labis/4a63e4c011623f3cf610d25e0d17d5f9;阳光透过树木的荆棘岭森林景象:https://p3-search.byteimg.com/obj/labis/ba2399398279f654bfa0cf3230507732;水墨背景含文字的荆棘岭画面:https://p3-search.byteimg.com/obj/labis/a317d73720bac6aa821ec467cecfe6be;三位头戴树枝绿叶头饰人物的荆棘岭形象:https://p3-search.byteimg.com/obj/labis/d4cf35c0b316a4b70c2a496981a2fe95"
20,"小雷音寺","书中未详细描述其独特的地理特征，推测是一个类似寺庙的建筑，外表看似雷音寺，但实际是黄眉老佛的地盘。","孙悟空、唐僧、猪八戒、沙僧、黄眉老佛等。","孙悟空等人在小雷音寺遇到黄眉老佛，黄眉老佛假冒佛祖，用金铙和后天袋子将孙悟空等神仙斗得没有办法，后请弥勒佛帮忙才将其收服。","小人书封面《西游记》之二十《小雷音寺》:https://p3-search.byteimg.com/obj/labis/07096cfb9056ab429247ec374f67d94c;绘本《西游记》故事《小雷音寺伏妖》封面:https://p3-search.byteimg.com/obj/labis/45e55394dbf6c26fcff05eda5ea7f209;绘本封面《小雷音寺伏妖》:https://p3-search.byteimg.com/obj/labis/604f3d9a514c87a8f49dcf9bafded993;书籍封面《小雷音寺伏妖》:https://p3-search.byteimg.com/obj/labis/d346af1e44f3c1c64e4462b28fd06ab6"
